study,architecture,effect,se,outcome,timing,atlas_estimate_id
Contractor & Reyes (2026),Open/unguided,0.266,0.125,Test score,Immediate AI-off,contractor_reyes_2026__contractor_and_reyes_2026_session_one_test
Bassner et al. (2026) ChatGPT,Open/unguided,-0.011,0.148,Knowledge gain,Immediate AI-off,bassner_etal_2026__est60
Bastani et al. (2025) GPT Base,Open/unguided,-0.19,0.079,Unassisted exam,Immediate AI-off,bastani_etal_2025__est3
Fischer et al. (2025) unrestricted,Open/unguided,0.337,0.116,Incentivized test,Post-study AI-off,fischer_etal_2025__est67
Gan et al. (2024),Open/unguided,0.398,0.193,Orthopedics test,Post-intervention AI-off,gan_etal_2024__est70
Hou et al. (2026) unguided,Open/unguided,0.093,0.246,Learning assessment,Post-intervention AI-off,hou_etal_2026__est73
Kavadella et al. (2024),Open/unguided,0.52,0.245,Knowledge examination,Post-assignment AI-off,kavadella_etal_2024__est75
Kazemitabaar et al. (2023),Open/unguided,-0.05,0.241,Immediate post-test,Immediate AI-off,kazemitabaar_etal_2023__est19
Lehmann et al. (2024) Study 2,Open/unguided,0.25,0.194,Learning outcome,Immediate AI-off,lehmann_etal_2024__est36
Lehmann et al. (2024) Study 3,Open/unguided,0.42,0.245,Learning outcome,Immediate AI-off,lehmann_etal_2024__est33
Ba et al. (2024),Structured/scaffolded,-0.067,0.228,Theoretical knowledge,Post-intervention AI-off,ba_etal_2024__est58
Bassner et al. (2026) Iris,Structured/scaffolded,-0.073,0.146,Knowledge gain,Immediate AI-off,bassner_etal_2026__est59
Bastani et al. (2025) GPT Tutor,Structured/scaffolded,-0.01,0.047,Unassisted exam,Immediate AI-off,bastani_etal_2025__est4
Dai et al. (2025) Experiment 1,Structured/scaffolded,0.212,0.154,Physics achievement,Post-intervention AI-off,dai_etal_2025__est64
Dai et al. (2025) Experiment 2,Structured/scaffolded,0.111,0.098,Physics achievement,Post-intervention AI-off,dai_etal_2025__est66
De Simone et al. (2025),Structured/scaffolded,0.238,0.068,English skills,Post-intervention AI-off,de_simone_etal_2025__est6
Fischer et al. (2025) restricted,Structured/scaffolded,0.132,0.122,Incentivized test,Post-study AI-off,fischer_etal_2025__est68
Hou et al. (2026) guided,Structured/scaffolded,0.864,0.266,Learning assessment,Post-intervention AI-off,hou_etal_2026__est72
Huang et al. (2025),Structured/scaffolded,0.669,0.15,Dental operative skills,Post-intervention AI-off,huang_etal_2025__est74
LearnLM Team (2026),Structured/scaffolded,0.258,0.115,Mathematics assessment,Post-intervention AI-off,learnlm_team_2026__est76
